en,fa
Get a random Grade 6 Damage Rune.,یک ران آسیب درجه 6 تصادفی دریافت کنید.
Reward List,لیست پاداش
Set: All,مجموعه: همه
Buy 10 times\nand get the\nFlame Knight Goni costume.,10 بار خرید کنید\nلباس شوالیه شعله گونی را دریافت کنید.
You can't possibly survive this!,شما احتمالا نمی توانید از این جان سالم به در ببرید!
Goni Costume,لباس گونی
"So, did you find the answer?",بنابراین، آیا پاسخ را پیدا کردید؟
"So, what do you wanna know?",بنابراین، چه چیزی می خواهید بدانید؟
It's not as easy to get as you'd think.,بدست آوردن آن آنقدرها هم که فکر می کنید آسان نیست.
You need to be better than that to handle me.,تو باید بهتر از این باشی تا با من کنار بیای.
Are you here for my wisdom?,آیا برای خرد من اینجا هستید؟
Difficulty Bonus,پاداش دشواری
Do you think you can do it without my help?,آیا فکر می کنید بدون کمک من می توانید این کار را انجام دهید؟
I can let you use my power if you wanna know.,من می توانم به شما اجازه دهم از قدرت من استفاده کنید اگر می خواهید بدانید.
This is the terror of the snowstorm!,این وحشت طوفان برف است!
Blessing of Dies,برکت مرگ
The Blessing of Dies will protect you.,Blessing of Dies از شما محافظت خواهد کرد.
Damage Bonus,پاداش خسارت
Dragon\nInfo,اژدها\nاطلاعات
Random Box,جعبه تصادفی
Lorus,لوروس
Evil Dragon,اژدها شیطانی
I'm gonna freeze everything!,من همه چیز را منجمد می کنم!
A dragon that lives deep under the sea. It is favored by many tamers for its high intelligence.,اژدهایی که در اعماق دریا زندگی می کند. به دلیل هوش بالایش مورد علاقه بسیاری از رام‌کنندگان است.
Blizzard Breath,نفس کولاک
Frost Regeneration,بازسازی یخبندان
I've come upon some new knowledge.,من به دانش جدیدی رسیده ام.
It's hard to refuse a favor from a good man.,امتناع از لطف یک مرد خوب سخت است.
Storm of Abyss!,طوفان پرتگاه!
"When an ally's HP is below {1}%,\ngrant invulnerable, immune effect to {2} allies with very low HP for {3} sec.",هنگامی که HP یک متحد کمتر از {1}٪ است،\nاثر ایمنی غیرقابل نفوذ، برای متحدان {2} با HP بسیار پایین برای {3} ثانیه است.
Or do you wanna know the history of your world?,یا می خواهید تاریخ دنیای خود را بدانید؟
No one shall escape!,هیچ کس نمی تواند فرار کند!
This place is full of good energy.,این مکان پر از انرژی خوب است.
I feel more comfortable in the sea.,در دریا احساس راحتی بیشتری می کنم.
This place is full of secrets that you don't know.,این مکان پر از رازهایی است که شما نمی دانید.
Do you wanna know the secret of this world?,آیا می خواهید راز این دنیا را بدانید؟
You've gotta understand its value.,شما باید ارزش آن را درک کنید
"So, what brings you all the way down here?",بنابراین، چه چیزی شما را به اینجا می رساند؟
"If you already have the same dragon, you'll get more rewards for clearing the level.",اگر قبلاً همان اژدها را دارید، برای پاک کردن سطح، جوایز بیشتری دریافت خواهید کرد.
Relationship Point with Tropheus available from Relationship Dungeon. You grow closer to Tropheus as you gain more points.,نقطه رابطه با Tropheus در دسترس از Relationship Dungeon. با کسب امتیاز بیشتر به Tropheus نزدیک تر می شوید.
"Every set duration, recover {1}% of HP.",هر مدت زمان تنظیم شده، {1}٪ از HP را بازیابی کنید.
"When an ally's HP, except itself, is below {1}%,\ngrant invulnerable, immune effect to {2} allies with very low HP, except itself, for {3} sec.",وقتی HP یک متحد، به جز خودش، کمتر از {1}% باشد،\nاثری غیرقابل نفوذ، ایمنی برای {2} متحدان با HP بسیار پایین، به جز خودش، برای {3} ثانیه.
Cooldown decreased by 0.5 sec.,خنک کننده 0.5 ثانیه کاهش یافت.
"Inflict damage to an enemy, and {1}% chance to decrease target's ATK for {2} sec.\nPower is increased proportionally to your DEF.",به دشمن آسیب وارد کنید و {1} درصد شانس کاهش ATK هدف برای {2} ثانیه.\nقدرت به نسبت DEF شما افزایش می‌یابد.
"Inflict damage to an enemy, and {1}% chance to decrease target's DEF for {2} sec.\nPower is increased proportionally to your DEF.",به دشمن آسیب وارد کنید و {1} درصد شانس کاهش DEF هدف برای {2} ثانیه.\nقدرت به نسبت DEF شما افزایش می‌یابد.
"Inflict damage to an enemy, and {1}% chance to decrease target's Critical Rate for {2} sec.\nPower is increased proportionally to your DEF.",به دشمن آسیب وارد کنید و شانس {1} درصد کاهش نرخ بحرانی هدف برای {2} ثانیه.\nقدرت به نسبت DEF شما افزایش می‌یابد.
I'm gonna protect you.,من ازت محافظت میکنم
This is the gift of wisdom.,این هدیه خرد است.
Intensive Defense,دفاع فشرده
Experiential Dragon Bonus,جایزه اژدها تجربی
"This is an awesome armor, as glorious as the sun.",این یک زره عالی است، به اندازه خورشید با شکوه.
Tropheus (Water),تروفئوس (اب)
Tropheus (Water) Relationship Point,نقطه ارتباط Tropheus (اب).
Tropheus (Fire),تروفئوس (آتش)
Tropheus (Fire) Relationship Point,نقطه ارتباط Tropheus (آتش).
Tropheus (Light),تروفئوس (سبک)
Tropheus (Light) Relationship Point,نقطه ارتباط Tropheus (سبک).
The storm will be the end of you.,طوفان پایان تو خواهد بود.
{1}% chance to recover {2}% of your HP when damaged.,{1}% شانس بازیابی {2}% از HP شما در صورت آسیب دیدن.
Go and try for your limits!,برو و برای محدودیت هایت تلاش کن!
Severe Blizzard,کولاک شدید
Flame Knight,شوالیه شعله
Flame Knight (Goni),شوالیه شعله (گونی)
Flame Knight Random Box,جعبه تصادفی شوالیه شعله
Try out dragons at the Illusion Dungeon!,اژدهاها را در سیاه چال توهم امتحان کنید!
Illusion Event,رویداد توهم
Until acquiring\n1 Legendary Skill Slime,تا به دست آوردن\n1 اسلایم مهارت افسانه ای
Clear Tower of Tests 50F\n(All Attributes),Clear Tower of Tests 50F \n(همه ویژگی ها)
Challenge\nyour limits!,محدودیت های خود را به چالش بکشید!
Limited Time Event ends in\n{1} Days {1} Hours,رویداد زمان محدود در \n {1} روز و {1} ساعت به پایان می‌رسد
Closing soon,به زودی بسته می شود
Ending soon,به زودی تمام می شود
Closing\nsoon,به زودی بسته می شود
Ending\nsoon,به زودی به پایان می رسد
Use the same dragon as the trial dragon for a battle to earn extra tokens. (+50%),از همان اژدهای اژدهای آزمایشی برای نبرد برای به دست آوردن توکن های اضافی استفاده کنید. (+50%)
Clear Tower of Tests 100F\n(All Attributes),Clear Tower of Tests 100F \n(همه ویژگی ها)
Until acquiring\n{1},تا زمان خرید \n {1}
The Level Package sale will end on June 20.,فروش بسته سطح در 20 ژوئن به پایان می رسد.
"Your purchase history will be reset, and this does not apply to the same kinds of sales in the future.",سابقه خرید شما بازنشانی می‌شود و این در مورد همان نوع فروش‌ها در آینده صدق نمی‌کند.
{1} Personal Ranking,{1} رتبه‌بندی شخصی
Rank {1} - {2},رتبه {1} - {2}
{1} has ended.,{1} به پایان رسیده است.
"{@apricot}In this stage, you can only deal high damage when an enemy is in {@light_red}weak point status{@apricot}.\nIt is better to use an attack skill that deals the highest damage on a single target.",{@apricot} در این مرحله، تنها زمانی می‌توانید خسارت زیادی وارد کنید که دشمن در وضعیت نقطه ضعف {@light_red} {@apricot} قرار داشته باشد.\nبهتر است از مهارت حمله استفاده کنید که بیشترین آسیب را به یک هدف وارد کند.
Exchange Period: {1},دوره تبادل: {1}
Exchange Period: {1} Days {1} Hours Left,دوره تبادل: {1} روز و {1} ساعت باقی مانده است
Amount for Exchange,مبلغ برای مبادله
Token Shop is open,فروشگاه توکن باز است
Token Shop Open Period,دوره باز فروشگاه توکن
Purchase Available {1}/{1},خرید در دسترس {1}/ {1}
"The higher the difficulty level, the more points and reward you can get.",هر چه سطح دشواری بالاتر باشد، امتیاز و پاداش بیشتری می توانید دریافت کنید.
My Ranking: {1},رتبه من: {1}
My best score: {1} pts,بهترین امتیاز من: {1} امتیاز
Damage Score,امتیاز خسارت
Try out dragons and get amazing rewards.,اژدهاها را امتحان کنید و جوایز شگفت انگیزی دریافت کنید.
There’s no Ranking Info.,هیچ اطلاعات رتبه بندی وجود ندارد.
This is the last stage.,این آخرین مرحله است.
Reward Available,پاداش در دسترس است
Clear Reward available when defeating the boss!,هنگام شکست دادن رئیس، پاداش پاک در دسترس است!
Exchange items?,مبادله اقلام؟
"Your total score must be at least 7,000 pts to get the ranking rewards.",امتیاز کل شما باید حداقل 7000 امتیاز باشد تا بتوانید جوایز رتبه بندی را دریافت کنید.
Time Score,امتیاز زمان
"In this stage, you can only deal high damage when an enemy is in weak point status.\nIt is better to use an attack skill that deals the highest damage on a single target.",در این مرحله تنها زمانی می توانید خسارت بالایی وارد کنید که دشمن در وضعیت نقطه ضعف قرار دارد.\nبهتر است از مهارت حمله ای استفاده کنید که بیشترین آسیب را به یک هدف وارد کند.
Event Period,دوره رویداد
The event has ended.,این رویداد به پایان رسیده است.
The event is in progress.,این رویداد در حال انجام است.
The event is in progress.,این رویداد در حال انجام است.
The battle ends when you reach the daily limit for Illusion Tokens.,نبرد زمانی به پایان می رسد که به حد مجاز روزانه Illusion Tokens برسید.
You have reached the daily limit for Tokens.,شما به حد مجاز روزانه برای Tokens رسیده اید.
"Every set duration, inflict damage to an enemy at the front.\n{1}% chance to decrease target's Critical Evasion for {2} sec.",در هر مدت زمان تعیین شده، به دشمن در جبهه آسیب وارد کنید. \n شانس {1} درصد کاهش فرار بحرانی هدف برای {2} ثانیه.
