zh-CN,zu
2个小boss会轮流进攻和防守。\n快速干掉其中一个。,2 Abaphathi abangaphansi bazoshintshana ukuze bahlasele futhi bavikele.\nLahla omunye wabo masinyane.
点数提升2★龙。,Amaphuzu okuthuthukisa 2★ Dragons.
2 连胜\n4 连胜\n6 连胜\n8 连胜\n10 连胜,2-Wina i-Streak\n-4-Wine Streak\n-6-Wine Streak\n8-Wina Streak\n-10-Wina Streak
第二名,Indawo yesi-2
第二至第五名,2-5
第二天,Usuku 2
2队,Ithimba 2
3、4★属性史莱姆,"3, 4★ Isibaluli Slime"
伤害每 30 秒增加一次。多个堆栈可用且无法取消。,Ukulimala kuyanda njalo ngemizuzwana engama-30. Izitaki eziningi ziyatholakala futhi azikwazi ukukhanselwa.
创建一个屏障，当受到攻击 30 次时，吸收所有攻击。,Dala umgoqo odonsa konke ukuhlasela lapho uhlaselwa izikhathi ezingu-30.
3-4级符文,Ibanga 3-4 Rune
购买3-4级符文,Uthenge i-Rune yeBanga lesi-3-4
获得随机的 3-4 级符文。,Thola okungahleliwe Ibanga 3-4 Rune.
获得 3-4 级符文,Uthole i-Rune yeBanga 3-4
孵化 3-5★龙,Amachamusela 3-5★ Dragon
3-5 龙蛋龙,Ithole ku-3-5★ Iqanda le- Dragon
3-5级（包括有限龙）,Ibanga lesi-3-5 (Kuhlanganisa namaDragons alinganiselwe)
孵化 3-5 级攻击龙,Ichanyuselwa iBanga lesi-3-5 i-Attacker Dragon
孵化 3-5 级龙\n（包括有限龙）,I-Hatches Grade 3-5 Dragon \n(Kufaka nama-Limited Dragons)
3-5级符文,Ibanga 3-5 Rune
获得 3-5 级符文,Uthole i-Rune yeBanga 3-5
获得随机 3-5 级符文。,Thola okungahleliwe Ibanga 3-5 Rune.
孵化 3-5 级防御龙,Ichanyuselwa iBanga 3-5 Defender Dragon
孵化 3-5 级支持龙,Dragon Ibanga 3-5 Idrako Yomsekeli
孵化 3-5 级治疗龙,Ichanyuselwa iBanga lesi-3-5 i-Healer Dragon
3-6级符文,Ibanga 3-6 Rune
获得 3-6 级符文,Uthole i-Rune yeBanga 3-6
获得随机 3-6 级符文。,Thola okungahleliwe Ibanga 3-6 Rune.
三年级驯龙师,3rd Grade Tamer
三级威力符1、2、3号,"No. 1, 2, kanye 3 of Grade 3 Angase Rune"
随机获得一个编号为 1-3 的三级力量符文。,Thola iBanga lesi-3 elingahleliwe elinenombolo 1-3.
三级坚固符文1、2、3号,"No. 1, 2, kanye 3 of Grade 3 Solidity Rune"
随机获得一个 3 级坚固符文，编号为 1-3。,Thola okungahleliwe Grade 3 Solidity Rune enenombolo 1-3.
三级机缘符1、2、3号,"No. 1, 2, kanye 3 of Grade 3 Chance Rune"
随机获得一个 3 级机会符文，编号为 1-3。,Thola iBanga lesi-3 le-Chance Rune elinenombolo 1-3.
三级精准符文1、2、3号,"No. 1, 2, kanye 3 of Grade 3 Ukunemba Rune"
随机获得一个 3 级精准符文，编号为 1-3。,Thola Ibanga lesi-3 Lokunemba Rune elinenombolo 1-3.
三级生命符文1、2、3号,"No. 1, 2, no-3 weBanga lesi-3 i-HP Rune"
随机获得一个 3 级生命符文，编号为 1-3。,Thola iBanga lesi-3 le-HP Rune elingahleliwe elinenombolo 1-3.
三级迅捷符文1、2、3号,"No. 1, 2, no-3 weBanga lesi-3 Swift Rune"
随机获得一个编号为 1-3 的三级速度符文。,Thola iBanga lesi-3 lejubane le-Speed ​​​​Rune elinenombolo 1-3.
三级伤害符文1、2、3号,"No. 1, 2, kanye 3 of Grade 3 Ukulimala Rune"
随机获得一个编号为 1-3 的 3 级伤害符文。,Thola okungahleliwe Ibanga lesi-3 Lokulimala Rune elinenombolo 1-3.
三级威力符4、5、6号,"No. 4, 5, kanye 6 of Grade 3 Angase Rune"
随机获得一个编号为 4-6 的三级力量符文。,Thola okungahleliwe Grade 3 Might Rune enezinombolo 4-6.
三级坚固符文4、5、6号,"No. 4, 5, kanye 6 of Grade 3 Solidity Rune"
随机获得一个 3 级坚固符文，编号为 4-6。,Thola okungahleliwe Grade 3 Solidity Rune enenombolo 4-6.
三级机缘符4、5、6号,"No. 4, 5, kanye 6 of Grade 3 Chance Rune"
随机获得一个 3 级机会符文，编号为 4-6。,Thola okungahleliwe Ibanga lesi-3 Ithuba Rune elinenombolo 4-6.
三级精准符文4、5、6号,"No. 4, 5, kanye 6 of Grade 3 Ukunemba Rune"
随机获得一个 3 级精准符文，编号为 4-6。,Thola okungahleliwe Grade 3 Ukunemba Rune enezinombolo 4-6.
三级生命符文4、5、6号,"No. 4, 5, no-6 weBanga lesi-3 i-HP Rune"
随机获得一个 3 级生命符文，编号为 4-6。,Thola iBanga lesi-3 le-HP Rune elingahleliwe elinenombolo 4-6.
三级迅捷符文4、5、6号,"No. 4, 5, kanye 6 of Grade 3Swift Rune"
随机获得一个 3 级迅捷符文，编号为 4-6。,Thola iBanga lesi-3 le-Swift Rune elingahleliwe elinenombolo 4-6.
三级伤害符文4、5、6号,"No. 4, 5, kanye 6 of Grade 3 Ukulimala Rune"
随机获得一个 3 级伤害符文，编号为 4-6。,Thola okungahleliwe Ibanga lesi-3 Lokulimala Rune elinenombolo 4-6.
三级一号威力符,No. 1 weBanga lesi-3 Angase Rune
三级威力符第二号,Inombolo yesi-2 yeBanga lesi-3 ingahle iRune
三级威力符第三号,No. 3 weBanga lesi-3 Angase Rune
三级威力符第四号,No. 4 weBanga lesi-3 Angase Rune
三级威力符第五号,Inombolo 5 yeBanga lesi-3 ingahle iRune
三级威力符第六号,No. 6 weBanga lesi-3 Angase Rune
三级力量符,Grade 3 May Rune
随机获得一个三级力量符文。,Thola okungahleliwe Grade 3 Might Rune.
三级强化点,Grade 3 Enhancement Point
三级坚固符文1号,Inombolo 1 yeBanga lesi-3 i-Solidity Rune
三级坚固符文2号,Inombolo yesi-2 yeBanga lesi-3 i-Solidity Rune
三级坚固符文之三,Inombolo yesi-3 yeBanga lesi-3 i-Solidity Rune
三级坚固符文四号,Inombolo yesi-4 yeBanga lesi-3 i-Solidity Rune
三级坚固符文5号,Inombolo yesi-5 yeBanga lesi-3 i-Solidity Rune
三级坚固符文6号,No. 6 of Grade 3 Solidity Rune
三级坚固符文,Grade 3 Solidity Rune
获得随机的 3 级坚固符文。,Thola okungahleliwe Grade 3 Solidity Rune.
三级机缘符文一号,Inombolo 1 yeBanga lesi-3 Ithuba Rune
三级机遇符文2号,No. 2 of Grade 3 Chance Rune
三级机缘符文三号,Inombolo yesi-3 yeBanga lesi-3 I-Chance Rune
三级机缘符4号,No. 4 weBanga lesi-3 Ithuba Rune
三级机缘符文5号,Inombolo yesi-5 yeBanga lesi-3 I-Chance Rune
三级机缘符6号,No. 6 of Grade 3 Chance Rune
三级机会符文,Ibanga lesi-3 Ithuba Rune
随机获得一个 3 级机会符文。,Thola okungahleliwe Grade 3 Chance Rune.
需要羊羔龙（3级）、变异蛋龙（3级）、小丑龙（3级）,"Idinga I-Lambgon (iBanga lesi-3), i-Mutant Iqanda Dragon (iBanga lesi-3), kanye ne-Clown Dragon (iBanga lesi-3)"
三级符文,Ibanga lesi-3 Rune
可以获得3级符文,Ungathola i-Rune yeBanga lesi-3
获得随机的 3 级符文。,Thola okungahleliwe Grade 3 Rune.
需要叶牙龙（3 级）、红颊龙（4 级）和泰拉飓风（5 级）,"Idinga i-Leaf Dragon (iBanga lesi-3), I-Applecheek (iBanga lesi-4), kanye ne-Tera Hurricane (iBanga lesi-5)"
需要 脊椎（3 级）和闪电古龙（5 级）,Idinga umgogodla (iBanga lesi-3) kanye ne Umbani Dragon (iBanga lesi-5)
三级抗性符文一号,Inombolo 1 yeBanga lesi-3 Resistance Rune
三级抗性符文2号,Inombolo 2 yeBanga lesi-3 Resistance Rune
三级抗性符文之三,Inombolo 3 yeBanga lesi-3 Resistance Rune
三级抗性符文4号,Inombolo 4 yeBanga lesi-3 Resistance Rune
三级抗性符文5号,Inombolo 5 yeBanga lesi-3 Resistance Rune
三级抗性符文6号,No. 6 of Grade 3 Resistance Rune
三级精准符文一号,No. 1 of Grade 3 Ukunemba Rune
三级精准符文2号,No. 2 of Grade 3 Ukunemba Rune
三级精准符文之三,No. 3 of Grade 3 Ukunemba Rune
三级精准符文4号,No. 4 of Grade 3 Ukunemba Rune
三级精准符文5号,No. 5 of Grade 3 Ukunemba Rune
三级精准符文六号,No. 6 of Grade 3 Ukunemba Rune
三级精准符文,Grade 3 Ukunemba Rune
随机获得一个三级精准符文。,Thola okungahleliwe Grade 3 Ukunemba Rune.
三级生命符文1号,Inombolo 1 yeBanga lesi-3 i-HP Rune
三级生命符文2号,Inombolo yesi-2 yeBanga lesi-3 i-HP Rune
三级生命符文3号,No. 3 weBanga lesi-3 HP Rune
三级生命符文4号,Inombolo yesi-4 yeBanga lesi-3 i-HP Rune
三级生命符文5号,Inombolo 5 yeBanga lesi-3 i-HP Rune
三级生命符文六号,No. 6 weBanga lesi-3 HP Rune
三级生命符文,Ibanga lesi-3 HP Rune
随机获得 3 级生命符文。,Thola okungahleliwe Grade 3 HP Rune.
三级迅捷符文1号,Inombolo 1 yeBanga lesi-3 i-Swift Rune
三级迅捷符文2号,Inombolo yesi-2 yeBanga lesi-3 i-Swift Rune
三级迅捷符文之三,Inombolo yesi-3 yeBanga lesi-3 i-Swift Rune
三级迅捷符文四号,Inombolo yesi-4 yeBanga lesi-3 i-Swift Rune
三级迅捷符文5号,Inombolo yesi-5 yeBanga lesi-3 i-Swift Rune
三级迅捷符文6号,Inombolo yesi-6 yeBanga lesi-3 i-Swift Rune
三级迅捷符文,Grade 3 Swift Rune
获得随机的 3 级迅捷符文。,Thola okungahleliwe Ibanga lesi-3 Swift Rune.
需要 Tera 女神龙 （3 级）和 Tera 粉贝儿 （3 级）,Idinga uTera Lady Dragon (iBanga lesi-3) noTera I-Pink Bell (iBanga lesi-3)
需要太拉青龙（3级）、毒蛇龙（3级）和灵能龙（4级）,"Idinga i-Tera I-Blue Dragon (iBanga lesi-3), i-Inyoka Dragon (iBanga lesi-3) kanye ne-Psyker Dragon (iBanga lesi-4)"
需要 法老龙（3 级）、新月龙（3 级）和巨力龙（5 级）,"Idinga i-Pharaoh Dragon (iBanga lesi-3), i-Crescent Dragon (iBanga lesi-3) ne- Amandla Dragon (iBanga lesi-5)"
三级伤害符文1号,Inombolo 1 yeBanga lesi-3 Ukulimala kweRune
三级伤害符文2号,Inombolo yesi-2 yeBanga lesi-3 Ukulimala kweRune
三级伤害符文3号,Inombolo yesi-3 yeBanga lesi-3 Ukulimala kweRune
三级伤害符4号,Inombolo yesi-4 yeBanga lesi-3 Ukulimala kweRune
三级伤害符文5号,Inombolo 5 yeBanga lesi-3 Ukulimala kweRune
三级伤害符6号,Inombolo yesi-6 yeBanga lesi-3 Ukulimala kweRune
三级伤害符文,Grade 3 Ukulimala Rune
随机获得一个 3 级伤害符文。,Thola okungahleliwe Grade 3 Ukulimala Rune.
点数提升3★龙。,Amaphuzu okuthuthukisa 3★ Dragons.
第三至第五名,3-5
第三天,Usuku 3
第三队,Ithimba 3
4-5级（包括有限龙）,Ibanga lesi-4-5 (Kuhlanganisa namaDragons alinganiselwe)
孵化 4-5 级龙,Dragon iBanga lesi-4-5
孵化 4-5 级龙\n（包括有限龙）,I-Hatches Grade 4-5 Dragon \n(Kufaka nama-Limited Dragons)
4-5级符文,Ibanga 4-5 Rune
购买了 4-5 级符文,Uthenge i-Rune yeBanga lesi-4-5
获得随机的 4-5 级符文。,Thola okungahleliwe Ibanga 4-5 Rune.
4-5★ 远古龙蛋x1\n4★ 奇迹龙蛋x1\n3-5★ 幻想龙蛋x5\n500 翅膀,4-5★ Iqanda Lasendulo x1\n4★ Iqanda Eliyisimangaliso x1\n3-5★ Iqanda Lenganekwane x5\n500 Amaphiko
4-5★远古龙蛋x2\n4★奇迹龙蛋x2\n3-5★幻想龙蛋x10\n800翅膀\n（2批400个）,4-5★ Iqanda Lasendulo x2\n4★ Iqanda Eliyisimangaliso x2\n3-5★ Iqanda Lenganekwane x10\n800 Amaphiko \n(amaqoqo angu-2 kwangu-400)
4-5★远古龙蛋x5\n4★奇迹龙蛋x5\n3-5★幻想龙蛋x20\n2000翅膀\n（5批400个）,4-5★ Iqanda Lasendulo x5\n4★ Iqanda Eliyisimangaliso x5\n3-5★ Iqanda Lenganekwane x20\n2000 Amaphiko \n(amaqoqo angu-5 kwangu-400)
4-5★\n远古龙蛋\n x2,4-5★\ Iqanda Lasendulo \n x2
4-5★\n永恒之龙蛋\n x2,4-5★\nIqanda Iqanda \n x2
4-6级符文1号和2号,No. 1 kanye 2 of Grade 4-6 Rune
获得随机的 4-6 级符文，编号为 1-2。,Thola i-Rune yeBanga 4-6 engahleliwe enenombolo 1-2.
4-6级符文3、4号,No. 3 kanye 4 of Grade 4-6 Rune
随机获得一个 4-6 级符文，编号为 3-4。,Thola iBanga lesi-4-6 iRune elinenombolo 3-4.
4-6级符文5号、6号,No. 5 kanye 6 of Grade 4-6 Rune
随机获得一个 4-6 级符文，编号为 5-6。,Thola okungahleliwe Ibanga 4-6 Rune elinenombolo 5-6.
4-6级力量符文套装,Ibanga 4-6 Ingase Rune Setha
购买了4-6级力量符文套装,Uthenge i-Grade 4-6 i-Might Rune Set
随机获得一套 4-6 级力量符文套装。,Thola okungahleliwe Ibanga 4-6 Kungenzeka Rune Set.
获得 4-6 级力量符文套装,Uthole iBanga lesi-4-6 i-Might Rune Set
4-6 级坚固符文套装,Grade 4-6 Solidity Rune Setha
购买了 4-6 级坚固符文套装,Uthenge i-Grade 4-6 Solidity Rune Set
获得随机的 4-6 级坚固符文套装。,Thola i-Grade 4-6 ye-Solidity Rune Set engahleliwe.
获得 4-6 级坚固符文套装,Uthole i-Grade 4-6 Solidity Rune Set
4-6 级机会符文套装,Grade 4-6 Chance Rune Setha
购买了 4-6 级机会符文套装,Uthenge i-Grade 4-6 Chance Rune Set
获得随机的 4-6 级机会符文套装。,Thola i-Grade 4-6 Chance Rune Set engahleliwe.
获得 4-6 级机会符文套装,Uthole i-Grade 4-6 Chance Rune Set
4-6级符文,Ibanga 4-6 Rune
获得 4-6 级符文,Uthole i-Rune yeBanga 4-6
获得随机的 4-6 级符文。,Thola okungahleliwe Ibanga 4-6 Rune.
4-6级抵抗符文套装,I-Grade 4-6 Resistance Rune Set
购买了 4-6 级抵抗符文套装,Uthenge i-Grade 4-6 Resistance Rune Set
获得随机的 4-6 级抵抗符文套装。,Thola i-Resistance Rune Set yeBanga lesi-4-6.
获得 4-6 级\n抵抗符文套装,Uthole i-Grade 4-6\nResistance Rune Set
4-6级精准符文套装,Ibanga 4-6 Ukunemba Rune Setha
购买4-6级精准符文套装,Uthenge i-Grade 4-6 Accuracy Rune Set
随机获得 4-6 级精准符文套装。,Thola okungahleliwe Grade 4-6 Ukunemba Rune Isethi.
获得4-6级精准符文套装,Uthole Isethi Ye-Rune Yokunemba Yebanga 4-6
4-6级HP符文套装,Ibanga 4-6 HP Rune Setha
购买4-6级HP符文套装,Uthenge i-Grade 4-6 HP Rune Set
随机获得 4-6 级 HP 符文套装。,Thola i-Grade 4-6 ye-HP Rune Set engahleliwe.
获得 4-6 级 HP 符文套装,Uthole i-Grade 4-6 HP Rune Set
4-6 级迅捷符文套装,IBanga 4-6 I-Swift Rune Set
购买了 4-6 级迅捷符文套装,Uthenge i-Grade 4-6 Swift Rune Set
获得随机的 4-6 级迅捷符文套装。,Thola i-Grade 4-6 ye-Swift Rune Set engahleliwe.
获得 4-6 级迅捷符文套装,Uthole i-Grade 4-6 Swift Rune Set
4-6级伤害符文套装,Grade 4-6 Ukulimala Rune Setha
购买了 4-6 级伤害符文套装,Uthenge i-Grade 4-6 Damage Rune Set
随机获得一套 4-6 级伤害符文套装。,Thola okungahleliwe Isethi ye-Rune yeBanga lesi-4-6.
获得 4-6 级伤害符文套装,Uthole Isethi ye-Rune yeBanga lesi-4-6
听说过四神龙吗？,Wake wezwa ngamaDragons Onkulunkulu abane?
四级威力符1、2、3号,"No. 1, 2, kanye 3 of Grade 4 Angase Rune"
随机获得一个编号为 1-3 的 4 级力量符文。,Thola iBanga lesi-4 elingahleliwe elinenombolo 1-3.
四品坚固符文1、2、3号,"No. 1, 2, kanye 3 of Grade 4 Solidity Rune"
随机获得一个 4 级坚固符文，编号为 1-3。,Thola okungahleliwe Grade 4 Solidity Rune enenombolo 1-3.
四品机缘符1、2、3号,"No. 1, 2, kanye 3 of Grade 4 Chance Rune"
随机获得一个 4 级机会符文，编号为 1-3。,Thola iBanga lesi-4 le-Chance Rune elinenombolo 1-3.
四级精准符文1、2、3号,"No. 1, 2, kanye 3 of Grade 4 Ukunemba Rune"
随机获得一个 4 级精准符文，编号为 1-3。,Thola iBanga lesi-4 Lokunemba Rune elinenombolo 1-3.
四级生命符文1、2、3号,"No. 1, 2, no-3 weBanga lesi-4 i-HP Rune"
随机获得一个 4 级生命符文，编号为 1-3。,Thola iBanga lesi-4 le-HP Rune elinenombolo 1-3.
四级迅捷符文1、2、3号,"No. 1, 2, kanye 3 of Grade 4Swift Rune"
随机获得一个 4 级速度符文，编号为 1-3。,Thola iBanga lesi-4 lejubane le-Speed ​​​​Rune elinenombolo 1-3.
四级伤害符文1、2、3号,"No. 1, 2, kanye 3 of Grade 4 Ukulimala Rune"
随机获得一个编号为 1-3 的 4 级伤害符文。,Thola okungahleliwe Ibanga lesi-4 Lokulimala Rune elinenombolo 1-3.
四级威力符第4、5、6号,"No. 4, 5, kanye 6 of Grade 4 Angase Rune"
随机获得一个 4 级力量符文，编号为 4-6。,Thola iBanga lesi-4 elingahleliwe elinenombolo 4-6.
四品坚固符文4、5、6号,"No. 4, 5, kanye 6 of Grade 4 Solidity Rune"
随机获得一个 4 级坚固符文，编号为 4-6。,Thola okungahleliwe Grade 4 Solidity Rune izinombolo 4-6.
四级机缘符4、5、6号,"No. 4, 5, kanye 6 of Grade 4 Chance Rune"
随机获得一个 4 级机会符文，编号为 4-6。,Thola iBanga lesi-4 le-Chance Rune elinenombolo 4-6.
四级精准符文4、5、6号,"No. 4, 5, kanye 6 of Grade 4 Ukunemba Rune"
随机获得一个4级精准符文，编号为4-6。,Thola okungahleliwe Grade 4 Ukunemba Rune enezinombolo 4-6.
四级生命符文4、5、6号,"No. 4, 5, no-6 weBanga lesi-4 i-HP Rune"
随机获得一个 4 级生命符文，编号为 4-6。,Thola iBanga lesi-4 le-HP Rune elinenombolo 4-6.
四品疾风符4、5、6号,"No. 4, 5, no-6 weBanga lesi-4 Swift Rune"
随机获得一个 4 级迅捷符文，编号为 4-6。,Thola iBanga lesi-4 le-Swift Rune elingahleliwe elinenombolo 4-6.
四级伤害符文4、5、6号,"No. 4, 5, kanye 6 weBanga lesi-4 Ukulimala Rune"
随机获得一个 4 级伤害符文，编号为 4-6。,Thola okungahleliwe Ibanga lesi-4 Lokulimala Rune elinenombolo 4-6.
四品一号威力符,Inombolo 1 yeBanga lesi-4 ingahle iRune
四级威力符第二号,Inombolo yesi-2 yeBanga lesi-4 ingahle iRune
四级威力符第三号,No. 3 weBanga lesi-4 Angase Rune
四级威力符第四号,No. 4 weBanga lesi-4 Angase Rune
四级威力符5号,No. 5 weBanga lesi-4 Angase Rune
四品六级威力符,No. 6 weBanga lesi-4 Angase Rune
四级力量符文,Grade 4 May Rune
随机获得一个四级力量符文。,Thola okungahleliwe Grade 4 Might Rune.
四级强化点,Grade 4 Enhancement Point
四级强化点x160,Amaphuzu Okuthuthukisa Ibanga lesi-4 x160
"四级强化点x160\n2,000,000金币\n黄玉x15","Amaphuzu Okuthuthukiswa Ebanga lesi-4 x160\n2,000,000 Igolide\nTopazi x15"
四级强化点套餐,Grade 4 Enhancement Point Package
四级坚固符文1号,Inombolo 1 yeBanga lesi-4 i-Solidity Rune
四级坚固符文2号,Inombolo yesi-2 yeBanga lesi-4 i-Solidity Rune
四级坚固符文第3号,Inombolo yesi-3 yeBanga lesi-4 i-Solidity Rune
四级坚固符文4号,Inombolo yesi-4 yeBanga lesi-4 i-Solidity Rune
四级坚固符文5号,Inombolo yesi-5 yeBanga lesi-4 i-Solidity Rune
四级坚固符文6号,No. 6 of Grade 4 Solidity Rune
四级坚固符文,Grade 4 Solidity Rune
获得随机的 4 级坚固符文。,Thola okungahleliwe Grade 4 Solidity Rune.
四级机缘符1号,Inombolo 1 yeBanga lesi-4 Ithuba Rune
四级机缘符2号,No. 2 of Grade 4 Chance Rune
四级机遇符文第3号,Inombolo 3 yeBanga lesi-4 Chance Rune
四级机缘符4号,No. 4 weBanga lesi-4 Ithuba Rune
四级机缘符5号,Inombolo 5 yeBanga lesi-4 Ithuba Rune
四级机缘符6号,No. 6 weBanga lesi-4 Chance Rune
四级机会符文,Ibanga lesi-4 Ithuba Rune
获得随机 4 级机会符文。,Thola okungahleliwe Grade 4 Chance Rune.
孵化 4 级龙,Uchamusela u-Grade 4 Dragon
孵化 4 级龙\n（包括有限的龙）,I-Hatches Grade 4 Dragon \n(Kufaka nama-Limited Dragons)
需要羊羔龙（4 级）、变异蛋龙（4 级）和小丑龙（4 级）,"Idinga I-Lambgon (iBanga lesi-4), i-Mutant Iqanda Dragon (iBanga lesi-4) kanye ne-Clown Dragon (iBanga lesi-4)"
四级符文,Ibanga lesi-4 Rune
可获得4级符文,Ungathola i-Rune yeBanga lesi-4
获得随机的 4 级符文。,Thola okungahleliwe Grade 4 Rune.
需要 脊椎（4 级）和闪电古龙（5 级）,Idinga umgogodla (iBanga lesi-4) kanye ne Umbani Dragon (iBanga lesi-5)
需要 Jaryong（4 级）、 西塔尔 （4 级）和修罗龙 （4 级）,"Idinga u-Jaryong (iBanga lesi-4), Idolobhana (iBanga lesi-4) no- Sura Dragon (iBanga lesi-4)"
四级抗性符文1号,Inombolo yoku-1 yeBanga lesi-4 I-Resistance Rune
四级抗性符文2号,Inombolo yesi-2 yeBanga lesi-4 I-Resistance Rune
四级抗性符文三号,Inombolo 3 yeBanga lesi-4 Resistance Rune
四级抗性符文4号,Inombolo 4 yeBanga lesi-4 Resistance Rune
四级抗性符文5号,Inombolo 5 yeBanga lesi-4 Resistance Rune
四级抗性符文6号,No. 6 of Grade 4 Resistance Rune
四级精准符文1号,No. 1 of Grade 4 Ukunemba Rune
四级精准符文2号,No. 2 of Grade 4 Ukunemba Rune
四级精准符文之三,No. 3 of Grade 4 Ukunemba Rune
